zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
12197,733,2.3,4.1,8.0,4.5,14.1,16.0,16.9,27.7,3.5,2.9,78750,84657,1951,96.8,72.8,54.1,3.2,3.0,5.5
12198,2907,1.7,0.2,3.6,6.6,5.4,15.2,17.8,21.2,15.8,12.5,99402,118628,7142,96.1,83.1,29.8,3.9,1.9,5.3
12202,4632,12.8,6.1,9.7,10.8,12.2,18.5,7.3,15.2,4.6,2.8,45172,64043,9693,93.2,42.8,58.8,6.8,25.4,27.0
12203,13830,6.0,3.8,7.4,5.0,11.2,16.5,14.8,16.7,10.1,8.7,75239,97758,30031,96.4,82.8,28.0,3.6,5.6,14.4
12204,4120,3.5,1.6,4.0,9.1,11.4,27.6,17.8,16.0,6.0,3.0,70260,83920,8723,95.1,77.1,35.8,4.9,11.7,13.9
12205,11444,1.9,2.6,4.4,6.5,11.8,16.0,14.9,25.3,9.8,6.9,87681,100141,26404,98.3,79.4,38.0,1.7,2.9,6.8
12206,6394,14.5,16.4,13.3,7.2,13.7,14.3,6.8,8.6,2.1,3.1,33136,51615,14761,94.4,42.9,63.5,5.6,35.4,40.6
12207,1310,19.7,9.5,11.6,4.9,6.9,18.6,6.6,15.3,2.0,4.8,45682,58802,2317,91.9,56.1,43.2,8.1,42.8,41.3
12208,10520,11.5,3.0,10.7,4.0,8.4,18.0,11.3,15.5,8.6,9.0,65701,88009,22759,96.8,76.4,34.1,3.2,4.0,18.0
12209,4303,3.5,1.7,3.8,6.2,13.2,16.2,19.1,23.1,8.6,4.7,78858,91877,10368,95.8,65.1,42.4,4.2,4.5,9.8
12210,5278,9.5,8.3,12.0,12.8,11.3,17.2,9.2,11.7,3.8,4.2,46244,64325,9708,94.6,62.1,44.4,5.4,13.5,22.4
12211,4154,4.4,2.6,2.5,0.5,5.6,10.6,9.4,18.3,17.7,28.4,133587,184159,12981,98.0,88.4,25.6,2.0,2.1,5.2
12222,15,0.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,0.0,0.0,108750,89567,6338,98.4,88.2,11.9,1.6,0.0,0.0
12226,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
